MT,1952,1843,1758,1677,1593,1466,1371,1327,1249,1212,1167,1128,1083,1016,967,919,863,852,829,803,766,743,740,717,698,666,655,630,614,609,601,588,573,563,561,554,548,545,540,541,539,525,523,519,515,505,493,485,481,479,479,479,479,479,479,478,471,470,468,468,466,462,462,461,459,458,458,458,456,456,456,457,455,455,453,453,451,451,449,448,445,444,442,439,437,433,433,426,422,415
NC,89484,87528,85701,83793,81331,79349,77310,75875,74529,72983,71654,70241,68142,66513,64670,63484,62142,60537,58818,57183,56174,54453,53605,52801,51389,49840,48188,46855,45853,45102,44119,42676,41249,39481,38171,37160,36484,35546,34625,33255,31966,30777,29889,29263,28589,27673,26488,25412,24628,24140,23964,23222,22725,21618,20860,20122,19700,19023,18512,17982,17129,16507,15816,15346,15045,14764,14360,13868,13397,12758,12256,11848,11664,11509,10923,10509,9948,9568,9142,8830,8623,8052,7608,7220,6951,6764,6493,6140,5859,5465
ND,4493,4442,4334,4243,4154,4070,3971,3898,3849,3816,3779,3722,3657,3615,3576,3539,3495,3458,3421,3393,3362,3320,3313,3288,3251,3226,3193,3166,3124,3101,3080,3058,3016,2980,2941,2901,2880,2861,2816,2745,2706,2679,2646,2625,2577,2554,2520,2481,2439,2422,2457,2418,2365,2317,2229,2095,1994,1931,1900,1848,1761,1647,1647,1571,1518,1491,1464,1425,1371,1323,1266,1225,1191,1153,1107,1067,1033,991,942,867,803,748,709,679,644,627,585,528,439,393
NE,21399,21172,20998,20777,20623,20425,20201,20046,19929,19827,19660,19452,19310,19177,19042,18899,18775,18524,18346,18221,18092,17957,17810,17707,17591,17415,17226,17031,16851,16725,16633,16513,16315,16025,15883,15752,15634,15543,15379,15117,14866,14611,14345,14101,13905,13654,13261,12976,12619,12355,12134,11989,11662,11425,11122,10846,10625,10348,10220,9772,9416,9075,8692,8572,8315,8234,7831,7190,6771,6438,6083,5910,5326,4838,4281,3784,3374,3358,3028,2732,2421,2124,1813,1722,1648,1474,1287,1138,1066,952
NH,6068,6054,6024,5991,5973,5952,5932,5914,5897,5857,5857,5822,5802,5782,5760,5760,5717,5671,5671,5598,5571,5558,5544,5518,5486,5450,5436,5364,5345,5345,5299,5251,5209,5178,5132,5079,5043,5019,5019,4876,4795,4749,4685,4651,4545,4492,4386,4286,4231,4197,4149,4089,4089,3935,3868,3721,3652,3596,3556,3464,3464,3299,3239,3160,3160,3011,2947,2843,2740,2636,2588,2588,2429,2310,2146,2054,2010,1938,1864,1787,1720,1670,1588,1491,1491,1392,1342,1287,1287,1139
NJ,175915,175522,175298,174959,174628,174240,174039,173878,173611,173402,173033,172742,172356,171928,171667,171272,171182,170873,170584,170196,169892,169734,169415,169142,168834,168496,168107,167703,167426,167103,166881,166605,166164,165816,165346,164796,164497,164164,163893,163336,162530,162068,161545,160918,160445,159608,158844,157815,156628,155764,155092,154154,153104,152719,151472,150399,149013,148039,146334,145089,143905,142704,141560,140743,139945,138532,137085,135454,133635,131890,130593,128269,126744,123717,121190,118652,116264,113856,111188,109038,105523,102196,99989,95865,92387,88806,85301,81420,78467,75317
NM,15291,15028,14773,14549,14251,14017,13727,13507,13256,13063,12776,12520,12276,12147,11982,11809,11619,11408,11192,10990,10838,10694,10565,10565,10260,10153,10065,9933,9845,9723,9621,9526,9526,9250,9105,9062,8940,8800,8672,8353,8140,8024,7800,7689,7624,7493,7364,7252,7130,7026,6943,6795,6625,6472,6317,6192,6096,5938,5857,5662,5503,5364,5212,5069,4863,4778,4673,4493,4291,4138,4031,3850,3732,3513,3411,3213,2974,2823,2726,2660,2521,2379,2210,2072,1971,1845,1798,1711,1597,1484
NV,29619,28515,27683,26838,25908,24904,24301,23785,22909,22418,21575,20718,19733,19101,18456,17894,17160,16339,15240,14859,14362,13997,13535,13205,12931,12486,12076,11842,11658,11279,11173,10946,10678,10399,10164,10030,9786,9649,9460,9266,9090,8935,8830,8688,8593,8495,8350,8208,8113,7997,7879,7770,7696,7401,7255,7166,7046,6906,6857,6662,6614,6499,6394,6311,6152,6098,6028,5884,5766,5663,5594,5491,5426,5311,5227,4998,4898,4805,4690,4602,4539,4398,4208,4081,3937,3830,3728,3626,3524,3321
NY,403175,402263,401706,401029,400299,399513,398929,398237,397649,397131,396598,395872,394954,394079,393454,392930,392539,391923,391220,390415,389666,389085,388488,387936,387272,386556,385760,385142,384575,383944,383324,382630,381714,380892,380156,379482,378799,378097,377316,376208,375133,374085,373040,371711,370770,369660,368284,366733,364965,363836,362764,361515,359926,358154,356458,354370,352845,351371,350121,348232,345813,343051,340661,338485,337055,335395,333122,330407,327649,323978,321192,318953,316415,312977,308314,304372,299691,295106,291996,288045,282143,271590,263460,257216,251690,247512,242786,236732,229642,222284
OH,67995,66853,65592,64214,62856,61331,60181,58904,57956,57151,56183,55257,54166,52865,51789,51046,50309,49455,48638,47651,46759,46127,45537,44808,44262,43731,43122,42422,42010,41576,41148,40848,40424,40004,39575,39162,38837,38476,38111,37758,37282,36792,36350,35984,35513,35034,34566,33915,33439,33006,32477,31911,31408,30794,30167,29436,28952,28454,27923,27474,26954,26357,25721,25250,24777,24081,23697,23016,22131,21576,20969,20474,19914,19335,18743,18027,17303,16128,15699,15963,15587,15169,14694,14117,13725,12919,11602,10222,9107,8414
